店名,カテゴリ,住所,連絡先,営業時間/定休日,画像
ふなと,和食店,〒771-3422 徳島県名西郡神山町上分川又西１１−２,088-677-0069,"月曜日　　11時00分〜20時00分
火曜日　　11時00分〜20時00分
水曜日　　11時00分〜20時00分
木曜日　　11時00分〜20時00分
金曜日　　11時00分〜20時00分
土曜日　　11時00分〜20時00分
日曜日　　11時00分〜20時00分",https://tblg.k-img.com/restaurant/images/Rvw/5829/150x150_square_5829041.jpg
観月茶屋,蕎麦屋,〒771-3422 徳島県名西郡神山町上分 字中津土須峠 岳人の森,088-677-1147,"日曜日        10時00分～16時00分
月曜日        10時00分～16時00分
火曜日        10時00分～16時00分
水曜日        10時00分～16時00分
木曜日        定休日
金曜日        定休日
土曜日        10時00分～16時00分",https://lh3.googleusercontent.com/p/AF1QipOayHnRBRmiVJRVO4VkSQDz3A8a8A8tDEW1pCFI=s1360-w1360-h1020
秀之家 料理だし,寿司屋,〒771-3421 徳島県名西郡神山町下分今井１−２,088-677-0023,"日曜日	定休日
月曜日	11時00分～16時00分
火曜日	11時00分～16時00分
水曜日	11時00分～16時00分
木曜日	11時00分～16時00分
金曜日	11時00分～16時00分
土曜日	11時00分～16時00分",https://lh3.googleusercontent.com/p/AF1QipP2P98mcwwuU4ymKkqFmH8mEpAXSXdtUWuSju-X=s1360-w1360-h1020
てくてく栗生野,レストラン,〒771-3421 徳島県名西郡神山町下分栗生野65,088-677-0745,"日曜日        定休日
月曜日        定休日
火曜日        定休日
水曜日        定休日
木曜日        12時00分～14時00分
金曜日        12時00分～14時00分
土曜日        12時00分～14時00分
",https://lh3.googleusercontent.com/p/AF1QipNm_RujZQ5GWWwov78M4VWQGAlivAMKmeGAPdCv=s1360-w1360-h1020
田中食堂,うどん屋, 〒771-3421 徳島県名西郡神山町下分鍋岩１１６,088-677-0190,完全予約制：不定休　10時00分〜14時00分,https://tblg.k-img.com/restaurant/images/Rvw/137270/150x150_square_137270685.jpg
Buddha Cafe メニューが変わりました,ハンバーガー,〒771-3311 徳島県名西郡神山町神領北４０３−１,080-3924-8833,"月曜日　　11時30分〜14時30分
火曜日　　11時30分〜14時30分
水曜日　　11時30分〜14時30分
木曜日　　11時30分〜14時30分
金曜日　　11時30分〜14時30分
土曜日　　11時30分〜14時30分
日曜日　　定休日",https://lh3.googleusercontent.com/p/AF1QipM2S8s8Fvc0HvRTx56o76OEkq6F5Xr3Ufs3Ob3Q=s1360-w1360-h1020
めし処 萬や 山びこ,"カフェ
居酒屋",〒771-3310 徳島県名西郡神山町神領北２５９−３,088-676-0330,"月曜日        11時30分～14時00分, 18時00分～23時00分
火曜日        定休日
水曜日        11時30分～14時00分, 18時00分～23時00分
木曜日        11時30分～14時00分, 18時00分～23時00分
金曜日        11時30分～14時00分, 18時00分～23時00分
土曜日        11時30分～14時00分, 18時00分～23時00分
日曜日        11時30分～14時00分, 18時00分～23時00分",https://lh3.googleusercontent.com/p/AF1QipPrvYVOah5ELSlOqk6BRI7RsD66un41xJlJP5IH=s1360-w1360-h1020
よりい家,居酒屋,〒771-3311 徳島県名西郡神山町神領北２４１−１０,,,
かま家,定食屋,〒771-3311 徳島県名西郡神山町神領北１９０−１,070-8428-2005,"月曜日　　定休日
火曜日　　定休日
水曜日　　09時00分〜16時00分
木曜日　　09時00分〜16時00分
金曜日　　09時00分〜16時00分
土曜日　　09時00分〜16時00分
日曜日　　定休日",https://lh3.googleusercontent.com/p/AF1QipN2SWBSj-iK8GFcN0_fRA1TD4nZB-AVNSTETTll=s1360-w1360-h1020
かまパン＆ストア,パン屋,〒771-3311 徳島県名西郡神山町神領北１９０−１,088-676-1077,"日曜日	9時00分～18時00分
月曜日	定休日
火曜日	定休日
水曜日	9時00分～18時00分
木曜日	9時00分～18時00分
金曜日	9時00分～18時00分
土曜日	9時00分～18時00分",https://lh3.googleusercontent.com/p/AF1QipOnFtt12CSzINZQ54VpOmMjj3n6pgVM8BAQnA03=s1360-w1360-h1020
